model,hyperparameters,aggregate,average_rmse
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}","['max', 'min']",0.22619099771979187
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['min'],0.28289350778089073
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.5}",['enlarged'],0.024397943932293303
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],0.7920744571083189
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}","['max', 'min']",0.22161927892857106
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.18137352560545297
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['std'],0.17124266581562023
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['max'],0.2676929020460558
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.21346033713516605
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.2730164778848002
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['min'],0.42925701564629665
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",['max'],1.9691150047850805
